district_id,district_name,latitude,longitude,date,tempmax,tempmin,temp,humidity,precip,windspeed,sealevelpressure,solarradiation,pm2p5,pm10,AOD
1,Bangalore,12.9716,77.5946,2023-06-13,31.0,21.6,25.7,74.5,0.0,22.4,1012.1,259.0,9.0,16.0,0.178571343
1,Bangalore,12.9716,77.5946,2023-06-14,32.0,21.0,25.9,72.1,1.989,27.7,1013.8,250.2,10.0,17.0,0.306842871
1,Bangalore,12.9716,77.5946,2023-06-15,32.0,21.9,26.6,68.2,0.0,20.2,1013.9,256.3,11.0,19.0,0.204488031
1,Bangalore,12.9716,77.5946,2023-06-16,32.0,22.0,26.5,68.1,0.0,20.8,1013.0,288.5,12.0,22.0,0.194885683
1,Bangalore,12.9716,77.5946,2023-06-17,31.0,22.0,26.4,70.5,0.995,21.3,1013.2,263.2,14.0,25.0,0.502414819
1,Bangalore,12.9716,77.5946,2023-06-18,29.0,23.0,25.1,76.0,2.5,22.3,1013.2,173.2,11.0,20.0,0.423726918
1,Bangalore,12.9716,77.5946,2023-06-19,29.0,22.0,24.9,79.4,0.598,21.3,1011.8,165.4,14.0,24.0,0.569846774
1,Bangalore,12.9716,77.5946,2023-06-20,26.0,20.8,23.1,90.6,18.919,16.6,1011.5,110.4,15.0,23.0,0.431930838
1,Bangalore,12.9716,77.5946,2023-06-21,29.8,21.9,24.0,84.3,3.065,14.8,1012.1,158.0,20.0,33.0,0.708271451
1,Bangalore,12.9716,77.5946,2023-06-22,31.0,21.0,25.2,78.3,7.957,16.8,1012.2,205.4,17.0,28.0,0.561996545
1,Bangalore,12.9716,77.5946,2023-06-23,29.9,21.7,25.0,80.2,0.231,20.4,1012.4,206.7,12.0,20.0,0.510101002
1,Bangalore,12.9716,77.5946,2023-06-24,28.0,21.0,23.7,80.3,0.598,20.8,1012.1,166.6,7.0,11.0,0.458205459
1,Bangalore,12.9716,77.5946,2023-06-25,28.9,21.0,24.5,78.1,6.962,22.3,1011.8,187.0,10.0,17.0,0.406309916
1,Bangalore,12.9716,77.5946,2023-06-26,27.9,21.0,24.1,78.0,0.011,24.0,1012.7,141.8,9.0,15.0,0.406309916
1,Bangalore,12.9716,77.5946,2023-06-27,29.8,20.5,24.2,77.6,1.989,23.9,1012.9,213.1,9.0,15.0,0.30251883
1,Bangalore,12.9716,77.5946,2023-06-28,28.9,20.8,24.3,74.6,0.004,29.5,1013.8,190.5,5.0,8.0,0.171000008
1,Bangalore,12.9716,77.5946,2023-06-29,29.1,21.0,23.6,80.0,1.005,28.2,1014.7,165.1,5.0,7.0,0.077177397
1,Bangalore,12.9716,77.5946,2023-06-30,30.0,20.0,24.8,74.3,0.8,26.1,1014.3,211.9,6.0,11.0,0.523561231
1,Bangalore,12.9716,77.5946,2023-07-01,30.9,21.0,25.6,73.4,0.1,25.7,1014.1,186.1,6.0,12.0,0.225044973
1,Bangalore,12.9716,77.5946,2023-07-02,28.9,22.0,24.3,79.3,17.919,22.6,1013.5,167.3,7.0,13.0,0.262997344
