time,AOD,state 
09-12-2024,0.689589057,Karnataka
10-12-2024,0.950053639,Karnataka
11-12-2024,0.570331481,Karnataka
12-12-2024,0.475922341,Karnataka
13-12-2024,0.592578503,Karnataka
14-12-2024,0.733666969,Karnataka
15-12-2024,0.688547714,Karnataka
16-12-2024,0.379713301,Karnataka
17-12-2024,0.464007263,Karnataka
18-12-2024,0.323880757,Karnataka
19-12-2024,0.490796984,Karnataka
20-12-2024,0.555616364,Karnataka
21-12-2024,0.966391814,Karnataka
22-12-2024,1.45919054,Karnataka
23-12-2024,0.864925155,Karnataka
24-12-2024,0.87944927,Karnataka
25-12-2024,0.868041767,Karnataka
26-12-2024,0.39235042,Karnataka
27-12-2024,0.318493065,Karnataka
28-12-2024,0.268890214,Karnataka
29-12-2024,0.292421836,Karnataka
30-12-2024,0.25451104,Karnataka
31-12-2024,0.230289591,Karnataka
01-01-2025,0.568358971,Karnataka
02-01-2025,0.416499336,Karnataka
03-01-2025,0.22578814,Karnataka
04-01-2025,0.276595619,Karnataka
05-01-2025,0.345534824,Karnataka
06-01-2025,0.483384912,Karnataka
07-01-2025,0.461750235,Karnataka
08-01-2025,0.74545777,Karnataka
09-01-2025,0.60145188,Karnataka
10-01-2025,0.838848013,Karnataka
